Unnamed: 0,animal_id,datetime,monthyear,date_of_birth,outcome_type,outcome_subtype,animal_type,sex_upon_outcome,age_upon_outcome,breed,color,name
0,A819400,2020-06-28T08:22:00.000,2020-06-28T08:22:00.000,2018-06-27T00:00:00.000,Euthanasia,Suffering,Other,Unknown,2 years,Squirrel,Brown/White,
1,A819025,2020-06-27T15:26:00.000,2020-06-27T15:26:00.000,2020-05-12T00:00:00.000,Died,In Foster,Cat,Intact Female,1 month,Domestic Shorthair Mix,Blue Tabby,*Eloise
2,A818693,2020-06-27T14:21:00.000,2020-06-27T14:21:00.000,2020-02-12T00:00:00.000,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair,Orange Tabby,*Aislinn
3,A809756,2020-06-27T12:43:00.000,2020-06-27T12:43:00.000,2018-11-30T00:00:00.000,Adoption,,Dog,Spayed Female,1 year,Labrador Retriever/Pit Bull,Brown/Tricolor,Roxy
4,A819382,2020-06-27T10:19:00.000,2020-06-27T10:19:00.000,2018-06-27T00:00:00.000,Euthanasia,Suffering,Other,Unknown,2 years,Raccoon,Gray/Black,
5,A818554,2020-06-27T10:18:00.000,2020-06-27T10:18:00.000,2018-06-10T00:00:00.000,Euthanasia,Suffering,Cat,Intact Female,2 years,Domestic Shorthair,Torbie,Turtle
6,A818341,2020-06-27T09:49:00.000,2020-06-27T09:49:00.000,2020-04-13T00:00:00.000,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Brown Tabby,
7,A818340,2020-06-27T09:48:00.000,2020-06-27T09:48:00.000,2020-04-13T00:00:00.000,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,White/Blue Tabby,
8,A765506,2020-06-27T09:11:00.000,2020-06-27T09:11:00.000,2014-01-21T00:00:00.000,Adoption,Foster,Cat,Spayed Female,6 years,Domestic Shorthair Mix,Calico,*Patty
9,A817931,2020-06-27T08:16:00.000,2020-06-27T08:16:00.000,2020-04-29T00:00:00.000,Adoption,Foster,Cat,Spayed Female,1 month,Domestic Shorthair Mix,White/Blue,*Zelda
10,A817930,2020-06-27T08:12:00.000,2020-06-27T08:12:00.000,2020-04-29T00:00:00.000,Adoption,Foster,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Brown Tabby,*Link
11,A819284,2020-06-27T08:07:00.000,2020-06-27T08:07:00.000,2019-06-25T00:00:00.000,Transfer,Snr,Cat,Unknown,1 year,Domestic Shorthair,Blue Tabby,
12,A720698,2020-06-27T08:04:00.000,2020-06-27T08:04:00.000,2014-08-14T00:00:00.000,Adoption,Foster,Dog,Neutered Male,5 years,Boxer Mix,White,*Truffles
13,A819177,2020-06-26T17:32:00.000,2020-06-26T17:32:00.000,2020-04-08T00:00:00.000,Euthanasia,Suffering,Cat,Intact Female,2 months,Domestic Medium Hair,Black/White,
14,A819270,2020-06-26T17:10:00.000,2020-06-26T17:10:00.000,2018-06-25T00:00:00.000,Return to Owner,,Dog,Intact Female,2 years,American Pit Bull Terrier,Brown Brindle,Saedy
15,A818398,2020-06-26T17:08:00.000,2020-06-26T17:08:00.000,2020-01-02T00:00:00.000,Adoption,,Dog,Spayed Female,5 months,Pit Bull,Blue/White,Nova
16,A818397,2020-06-26T17:07:00.000,2020-06-26T17:07:00.000,2020-01-02T00:00:00.000,Adoption,,Dog,Spayed Female,5 months,Pit Bull Mix,Fawn/White,Kaila
17,A819371,2020-06-26T16:57:00.000,2020-06-26T16:57:00.000,2020-06-25T00:00:00.000,Transfer,Partner,Cat,Unknown,1 day,Domestic Shorthair,Black/White,*55 Grams
18,A819057,2020-06-26T16:15:00.000,2020-06-26T16:15:00.000,2019-10-21T00:00:00.000,Transfer,Partner,Cat,Spayed Female,8 months,Domestic Shorthair,Orange Tabby,
19,A819036,2020-06-26T16:11:00.000,2020-06-26T16:11:00.000,2018-06-20T00:00:00.000,Transfer,Partner,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby/White,
20,A817713,2020-06-26T15:20:00.000,2020-06-26T15:20:00.000,2019-11-24T00:00:00.000,Adoption,,Dog,Spayed Female,7 months,Pit Bull,Blue/White,Chanel
